0     팀  경기수   승   패  무     승률   게임차  연속    출루율    장타율    최근10경기
1    SK  135  84  50  1  0.627   0.0  2패  0.336  0.384  4승-6패-0무
2    키움  140  83  56  1  0.597   3.5  1패  0.355  0.418  6승-4패-0무
3    두산  133  79  54  0  0.594   4.5  3패  0.354  0.390  4승-6패-0무
4    LG  135  76  58  1  0.567   8.0  5승  0.335  0.384  8승-2패-0무
5    NC  136  70  65  1  0.519  14.5  1승  0.344  0.420  8승-2패-0무
6    KT  137  66  69  2  0.489  18.5  1패  0.344  0.382  4승-6패-0무
7   KIA  137  59  76  2  0.437  25.5  2승  0.338  0.371  3승-7패-0무
8    삼성  135  56  78  1  0.418  28.0  5패  0.331  0.392  3승-7패-0무
9    한화  137  54  83  0  0.394  31.5  2승  0.324  0.362  6승-4패-0무
10   롯데  137  48  86  3  0.358  36.0  1패  0.320  0.364  4승-6패-0무
